scenario,cases_per_period,audit_share,estimator,replications,truth,mean_estimate,bias,rmse,empirical_sd,mean_reported_se,coverage_95,mcse_bias,mcse_coverage
stable_negative_control,4000,0.1,delta_e_audit_proxy,1000,0.0,0.000495308536626388,0.000495308536626388,0.012643697217849647,0.012640313537112932,0.012285476792056074,0.938,0.00039972181115936176,0.00762600813007697
stable_negative_control,4000,0.1,delta_override,1000,0.0,8.183499999995452e-05,8.183499999995452e-05,0.004203544547462256,0.004204850837525692,0.004108639810347914,0.944,0.00013296905867847794,0.007270763371201131
stable_negative_control,4000,0.25,delta_p_audit_override,1000,0.0,2.6973399133323374e-05,2.6973399133323374e-05,0.009436413120741758,0.009441096298649155,0.009284519270696094,0.941,0.000298553679127166,0.007451107300260817
stable_negative_control,4000,0.25,delta_e_audit_override,1000,0.0,-1.1832112349349445e-05,-1.1832112349349445e-05,0.034436337674408284,0.03445356673390545,0.03445821283244421,0.958,0.0010895174439574963,0.006343185319695463
stable_negative_control,4000,0.25,delta_p_audit_proxy,1000,0.0,2.1189141621673332e-05,2.1189141621673332e-05,0.009453154829941818,0.009457861195721114,0.009287302582903636,0.939,0.00029908383172202275,0.007568289106528638
stable_negative_control,4000,0.25,delta_e_audit_proxy,1000,0.0,0.0001205909578475956,0.0001205909578475956,0.012115332141939945,0.01212079388385032,0.012285209372011734,0.958,0.00038329315722405397,0.006343185319695463
stable_negative_control,4000,0.25,delta_override,1000,0.0,-1.5337500000046397e-05,-1.5337500000046397e-05,0.004047532899032406,0.004049529110385463,0.004108283755166841,0.948,0.00012805735439973482,0.007021111023192843
detection_drift_misspecification,250,0.1,delta_p_audit_override,1000,0.0,0.0030666928183268644,0.0030666928183268644,0.0605297202849901,0.06048223320505482,0.0614274507181711,0.951,0.00191261614901439,0.006826346021115546
detection_drift_misspecification,250,0.1,delta_e_audit_override,1000,0.0,-0.5538164986220413,-0.5538164986220413,0.5632106880665174,0.10248936079153757,0.11092546502062413,0.0,0.003240998160360163,0.0
detection_drift_misspecification,250,0.1,delta_p_audit_proxy,1000,0.0,-0.0002499465661131621,-0.0002499465661131621,0.06785321699080582,0.06788670847745804,0.06628881938176111,0.943,0.0021467662164062888,0.007331507348424336
detection_drift_misspecification,250,0.1,delta_e_audit_proxy,1000,0.0,-0.0010932541379996253,-0.0010932541379996253,0.04058737088681745,0.040592945916156115,0.041314162448406404,0.956,0.0012836616603108372,0.006485676526007139
detection_drift_misspecification,250,0.1,delta_override,1000,-0.1620000000000001,-0.16213351999999998,-0.00013351999999991127,0.017617393768659426,0.017625702851535044,0.017517326770100945,0.95,0.0005573736637217537,0.006892024376045114
detection_drift_misspecification,250,0.25,delta_p_audit_override,1000,0.0,-0.000555490193023627,-0.000555490193023627,0.040306024138545296,0.040322362349047194,0.040782454447705216,0.946,0.0012751050566160653,0.0071473071852271785
detection_drift_misspecification,250,0.25,delta_e_audit_override,1000,0.0,-0.5619224252418809,-0.5619224252418809,0.5676580671063247,0.0805316988252903,0.08579022681370004,0.0,0.0025466359213062364,0.0
detection_drift_misspecification,250,0.25,delta_p_audit_proxy,1000,0.0,-0.001420310295732032,-0.001420310295732032,0.042343813208817374,0.04234116212076366,0.042157315877073255,0.949,0.001338945110800585,0.006956938982052382
detection_drift_misspecification,250,0.25,delta_e_audit_proxy,1000,0.0,-0.00027353938813075556,-0.00027353938813075556,0.04140033971857743,0.04142015130284668,0.04132449446437202,0.949,0.0013098201914578625,0.006956938982052382
detection_drift_misspecification,250,0.25,delta_override,1000,-0.1620000000000001,-0.16288,-0.0008799999999999118,0.01733164809243483,0.017317954184520097,0.01750388310970487,0.954,0.0005476417963752741,0.006624499981130654
detection_drift_misspecification,1000,0.1,delta_p_audit_override,1000,0.0,-0.0009582369024925915,-0.0009582369024925915,0.029450313491534996,0.02944944849747097,0.03076927163379672,0.955,0.000931273330878317,0.00655553201502365
